FECHA_CORTE;FECHA_MUESTRA;CUENTA;ESTACION;UNIDAD_MEDIDA;TIPO_ESTACION;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;CAUDAL07H;PROMEDIO24H;MAXIMA24H;PRECIP24H
20221006;20220922;RIO CHIRA;EL CIRUELO;m3/s;HIDROLOGICA;Piura;Piura ;Suyo;200210;11;11.2;12;0
20221006;20220922;RIO MACARA;PUENTE INTERNACIONAL;m3/s;HIDROLOGICA;Piura;Piura ;Suyo;200210;6.6;6.9;7.2;0
20221006;20220921;PRESA EJIDOS;CANAL PRINCIPAL;m3/s;HIDROMETRICA;Piura;Piura ;Castilla;200104;11.62;11.62;0;0
20221006;20220921;PRESA EJIDOS;PTE. SANCHEZ CERRO;m3/s;HIDROLOGICA;Piura;Piura ;Castilla;200104;0;0;0;0
20221006;20220921;PRESA EJIDOS;COTE EMBALSE;msnm;PRESA;Piura;Piura ;Castilla;200104;30.55;0;30.59;0
20221006;20220921;RIO PIURA;EL PAPAYO;m3/s;HIDROLOGICA;Piura;Piura ;Castilla;200104;0;0;0;0
20221006;20220921;RIO PIURA;TAMBOGRANDE;m3/s;HIDROLOGICA;Piura;Piura ;Tambo Grande;200114;0;0;0;0
20221006;20220921;RIO PIURA;PTE. NACARA;m3/s;HIDROMETRICA;Piura;Piura ;Chulucanas;200401;0;0;0;0
20221006;20220921;PRESA SULLANA;CANAL NORTE;m3/s;HIDROLOGICA;Piura;Piura ;Sullana;200601;20.5;20.5;0;0
20221006;20220921;PRESA SULLANA;RIO CHIRA(SULLANA);m3/s;HIDROLOGICA;Piura;Piura ;Sullana;200601;5;5;5;0
20221006;20220921;PRESA SULLANA;COTA EMBALSE;msnm;PRESA;Piura;Piura ;Sullana;200601;36.95;0;36.96;0
20221006;20220921;PUNTOS DE CONTROL CD;CURUMUY;m3/s;HIDROMETRICA;Piura;Piura ;Piura;200101;0;15.83;0;0
20221006;20220921;PUNTOS DE CONTROL CD;CHECK(KM 29+900);m3/s;HIDROMETRICA;Piura;Piura ;Sullana;200601;23.3;24.28;25.1;0
20221006;20220921;SALIDA DE RESERVERIO;TOTAL SALIDA;m3/s;PRESA;Piura;Piura ;Lancones;200604;0;51.38;0;0
20221006;20220921;SALIDA DE RESERVERIO;EVAPORACION;m3/s;PRESA;Piura;Piura ;Lancones;200604;0;3.68;0;0
